# Composed directly from input data
region,sector.name,subsector.name,technology,year,input.capital,capital.overnight,fixed.charge.rate
USA,electricity,biomass,biomass (conv),1975,capital,1239,0.13
USA,electricity,biomass,biomass (conv),1990,capital,1239,0.13
USA,electricity,biomass,biomass (conv),2005,capital,1239,0.13
USA,electricity,biomass,biomass (conv),2010,capital,1239,0.13
USA,electricity,biomass,biomass (conv),2015,capital,1239,0.13
USA,electricity,biomass,biomass (conv),2020,capital,1224,0.13
USA,electricity,biomass,biomass (conv),2025,capital,1210,0.13
USA,electricity,biomass,biomass (conv),2030,capital,1196,0.13
USA,electricity,biomass,biomass (conv),2035,capital,1183,0.13
USA,electricity,biomass,biomass (conv),2040,capital,1170,0.13
USA,electricity,biomass,biomass (conv),2045,capital,1159,0.13
USA,electricity,biomass,biomass (conv),2050,capital,1147,0.13
USA,electricity,biomass,biomass (conv),2055,capital,1137,0.13
USA,electricity,biomass,biomass (conv),2060,capital,1127,0.13
USA,electricity,biomass,biomass (conv),2065,capital,1117,0.13
USA,electricity,biomass,biomass (conv),2070,capital,1108,0.13
USA,electricity,biomass,biomass (conv),2075,capital,1099,0.13
USA,electricity,biomass,biomass (conv),2080,capital,1091,0.13
USA,electricity,biomass,biomass (conv),2085,capital,1083,0.13
USA,electricity,biomass,biomass (conv),2090,capital,1075,0.13
USA,electricity,biomass,biomass (conv),2095,capital,1068,0.13
USA,electricity,biomass,biomass (conv),2100,capital,1061,0.13
USA,electricity,biomass,biomass (IGCC),1975,capital,1859,0.13
USA,electricity,biomass,biomass (IGCC),1990,capital,1859,0.13
USA,electricity,biomass,biomass (IGCC),2005,capital,1859,0.13
USA,electricity,biomass,biomass (IGCC),2010,capital,1859,0.13
USA,electricity,biomass,biomass (IGCC),2015,capital,1859,0.13
USA,electricity,biomass,biomass (IGCC),2020,capital,1780,0.13
USA,electricity,biomass,biomass (IGCC),2025,capital,1713,0.13
USA,electricity,biomass,biomass (IGCC),2030,capital,1654,0.13
USA,electricity,biomass,biomass (IGCC),2035,capital,1605,0.13
USA,electricity,biomass,biomass (IGCC),2040,capital,1562,0.13
USA,electricity,biomass,biomass (IGCC),2045,capital,1525,0.13
USA,electricity,biomass,biomass (IGCC),2050,capital,1493,0.13
USA,electricity,biomass,biomass (IGCC),2055,capital,1466,0.13
USA,electricity,biomass,biomass (IGCC),2060,capital,1443,0.13
USA,electricity,biomass,biomass (IGCC),2065,capital,1423,0.13
USA,electricity,biomass,biomass (IGCC),2070,capital,1406,0.13
USA,electricity,biomass,biomass (IGCC),2075,capital,1391,0.13
USA,electricity,biomass,biomass (IGCC),2080,capital,1378,0.13
USA,electricity,biomass,biomass (IGCC),2085,capital,1367,0.13
USA,electricity,biomass,biomass (IGCC),2090,capital,1358,0.13
USA,electricity,biomass,biomass (IGCC),2095,capital,1350,0.13
USA,electricity,biomass,biomass (IGCC),2100,capital,1343,0.13
USA,electricity,coal,coal (conv pul),1975,capital,730,0.13
USA,electricity,coal,coal (conv pul),1990,capital,730,0.13
USA,electricity,coal,coal (conv pul),2005,capital,800,0.13
USA,electricity,coal,coal (conv pul),2010,capital,850,0.13
USA,electricity,coal,coal (conv pul),2015,capital,898,0.13
USA,electricity,coal,coal (conv pul),2020,capital,887,0.13
USA,electricity,coal,coal (conv pul),2025,capital,877,0.13
USA,electricity,coal,coal (conv pul),2030,capital,867,0.13
USA,electricity,coal,coal (conv pul),2035,capital,858,0.13
USA,electricity,coal,coal (conv pul),2040,capital,849,0.13
USA,electricity,coal,coal (conv pul),2045,capital,840,0.13
USA,electricity,coal,coal (conv pul),2050,capital,832,0.13
USA,electricity,coal,coal (conv pul),2055,capital,824,0.13
USA,electricity,coal,coal (conv pul),2060,capital,817,0.13
USA,electricity,coal,coal (conv pul),2065,capital,810,0.13
USA,electricity,coal,coal (conv pul),2070,capital,803,0.13
USA,electricity,coal,coal (conv pul),2075,capital,797,0.13
USA,electricity,coal,coal (conv pul),2080,capital,791,0.13
USA,electricity,coal,coal (conv pul),2085,capital,785,0.13
USA,electricity,coal,coal (conv pul),2090,capital,780,0.13
USA,electricity,coal,coal (conv pul),2095,capital,774,0.13
USA,electricity,coal,coal (conv pul),2100,capital,769,0.13
USA,electricity,coal,coal (IGCC),1975,capital,1239,0.13
USA,electricity,coal,coal (IGCC),1990,capital,1239,0.13
USA,electricity,coal,coal (IGCC),2005,capital,1239,0.13
USA,electricity,coal,coal (IGCC),2010,capital,1239,0.13
USA,electricity,coal,coal (IGCC),2015,capital,1239,0.13
USA,electricity,coal,coal (IGCC),2020,capital,1187,0.13
USA,electricity,coal,coal (IGCC),2025,capital,1142,0.13
USA,electricity,coal,coal (IGCC),2030,capital,1103,0.13
USA,electricity,coal,coal (IGCC),2035,capital,1070,0.13
USA,electricity,coal,coal (IGCC),2040,capital,1041,0.13
USA,electricity,coal,coal (IGCC),2045,capital,1017,0.13
USA,electricity,coal,coal (IGCC),2050,capital,996,0.13
USA,electricity,coal,coal (IGCC),2055,capital,977,0.13
USA,electricity,coal,coal (IGCC),2060,capital,962,0.13
USA,electricity,coal,coal (IGCC),2065,capital,949,0.13
USA,electricity,coal,coal (IGCC),2070,capital,937,0.13
USA,electricity,coal,coal (IGCC),2075,capital,927,0.13
USA,electricity,coal,coal (IGCC),2080,capital,919,0.13
USA,electricity,coal,coal (IGCC),2085,capital,912,0.13
USA,electricity,coal,coal (IGCC),2090,capital,905,0.13
USA,electricity,coal,coal (IGCC),2095,capital,900,0.13
USA,electricity,coal,coal (IGCC),2100,capital,895,0.13
USA,electricity,gas,gas (CC),1975,capital,320,0.13
USA,electricity,gas,gas (CC),1990,capital,320,0.13
USA,electricity,gas,gas (CC),2005,capital,320,0.13
USA,electricity,gas,gas (CC),2010,capital,320,0.13
USA,electricity,gas,gas (CC),2015,capital,325,0.13
