"region","technology","year"
"Africa_Eastern","coal (conv pul) (once through)",1975
"Africa_Eastern","coal (conv pul) (once through)",1990
"Africa_Eastern","coal (conv pul) (once through)",2005
"Africa_Eastern","coal (conv pul) (once through)",2010
"Africa_Eastern","coal (conv pul) (once through)",2015
"Africa_Eastern","coal (conv pul) (once through)",2020
"Africa_Eastern","coal (conv pul) (once through)",2025
"Africa_Eastern","coal (conv pul) (once through)",2030
"Africa_Eastern","coal (conv pul) (once through)",2035
"Africa_Eastern","coal (conv pul) (once through)",2040
"Africa_Eastern","coal (conv pul) (once through)",2045
"Africa_Eastern","coal (conv pul) (once through)",2050
"Africa_Eastern","coal (conv pul) (once through)",2055
"Africa_Eastern","coal (conv pul) (once through)",2060
"Africa_Eastern","coal (conv pul) (once through)",2065
"Africa_Eastern","coal (conv pul) (once through)",2070
"Africa_Eastern","coal (conv pul) (once through)",2075
"Africa_Eastern","coal (conv pul) (once through)",2080
"Africa_Eastern","coal (conv pul) (once through)",2085
"Africa_Eastern","coal (conv pul) (once through)",2090
"Africa_Eastern","coal (conv pul) (once through)",2095
"Africa_Eastern","coal (conv pul) (once through)",2100
"Africa_Eastern","coal (conv pul) (seawater)",1975
"Africa_Eastern","coal (conv pul) (seawater)",1990
"Africa_Eastern","coal (conv pul) (seawater)",2005
"Africa_Eastern","coal (conv pul) (seawater)",2010
"Africa_Eastern","coal (conv pul) (seawater)",2015
"Africa_Eastern","coal (conv pul) (seawater)",2020
"Africa_Eastern","coal (conv pul) (seawater)",2025
"Africa_Eastern","coal (conv pul) (seawater)",2030
"Africa_Eastern","coal (conv pul) (seawater)",2035
"Africa_Eastern","coal (conv pul) (seawater)",2040
"Africa_Eastern","coal (conv pul) (seawater)",2045
"Africa_Eastern","coal (conv pul) (seawater)",2050
"Africa_Eastern","coal (conv pul) (seawater)",2055
"Africa_Eastern","coal (conv pul) (seawater)",2060
"Africa_Eastern","coal (conv pul) (seawater)",2065
"Africa_Eastern","coal (conv pul) (seawater)",2070
"Africa_Eastern","coal (conv pul) (seawater)",2075
"Africa_Eastern","coal (conv pul) (seawater)",2080
"Africa_Eastern","coal (conv pul) (seawater)",2085
"Africa_Eastern","coal (conv pul) (seawater)",2090
"Africa_Eastern","coal (conv pul) (seawater)",2095
"Africa_Eastern","coal (conv pul) (seawater)",2100
"Africa_Eastern","coal (conv pul) (recirculating)",1975
"Africa_Eastern","coal (conv pul) (recirculating)",1990
"Africa_Eastern","coal (conv pul) (recirculating)",2005
"Africa_Eastern","coal (conv pul) (recirculating)",2010
"Africa_Eastern","coal (conv pul) (recirculating)",2015
"Africa_Eastern","coal (conv pul) (recirculating)",2020
"Africa_Eastern","coal (conv pul) (recirculating)",2025
"Africa_Eastern","coal (conv pul) (recirculating)",2030
"Africa_Eastern","coal (conv pul) (recirculating)",2035
"Africa_Eastern","coal (conv pul) (recirculating)",2040
"Africa_Eastern","coal (conv pul) (recirculating)",2045
"Africa_Eastern","coal (conv pul) (recirculating)",2050
"Africa_Eastern","coal (conv pul) (recirculating)",2055
"Africa_Eastern","coal (conv pul) (recirculating)",2060
"Africa_Eastern","coal (conv pul) (recirculating)",2065
"Africa_Eastern","coal (conv pul) (recirculating)",2070
"Africa_Eastern","coal (conv pul) (recirculating)",2075
"Africa_Eastern","coal (conv pul) (recirculating)",2080
"Africa_Eastern","coal (conv pul) (recirculating)",2085
"Africa_Eastern","coal (conv pul) (recirculating)",2090
"Africa_Eastern","coal (conv pul) (recirculating)",2095
"Africa_Eastern","coal (conv pul) (recirculating)",2100
"Africa_Eastern","coal (conv pul) (cooling pond)",1975
"Africa_Eastern","coal (conv pul) (cooling pond)",1990
"Africa_Eastern","coal (conv pul) (cooling pond)",2005
"Africa_Eastern","coal (conv pul) (cooling pond)",2010
"Africa_Eastern","coal (conv pul) (cooling pond)",2015
"Africa_Eastern","coal (conv pul) (cooling pond)",2020
"Africa_Eastern","coal (conv pul) (cooling pond)",2025
"Africa_Eastern","coal (conv pul) (cooling pond)",2030
"Africa_Eastern","coal (conv pul) (cooling pond)",2035
"Africa_Eastern","coal (conv pul) (cooling pond)",2040
"Africa_Eastern","coal (conv pul) (cooling pond)",2045
"Africa_Eastern","coal (conv pul) (cooling pond)",2050
"Africa_Eastern","coal (conv pul) (cooling pond)",2055
"Africa_Eastern","coal (conv pul) (cooling pond)",2060
"Africa_Eastern","coal (conv pul) (cooling pond)",2065
"Africa_Eastern","coal (conv pul) (cooling pond)",2070
"Africa_Eastern","coal (conv pul) (cooling pond)",2075
"Africa_Eastern","coal (conv pul) (cooling pond)",2080
"Africa_Eastern","coal (conv pul) (cooling pond)",2085
"Africa_Eastern","coal (conv pul) (cooling pond)",2090
"Africa_Eastern","coal (conv pul) (cooling pond)",2095
"Africa_Eastern","coal (conv pul) (cooling pond)",2100
"Africa_Eastern","coal (conv pul) (dry cooling)",1975
"Africa_Eastern","coal (conv pul) (dry cooling)",1990
"Africa_Eastern","coal (conv pul) (dry cooling)",2005
"Africa_Eastern","coal (conv pul) (dry cooling)",2010
"Africa_Eastern","coal (conv pul) (dry cooling)",2015
"Africa_Eastern","coal (conv pul) (dry cooling)",2020
"Africa_Eastern","coal (conv pul) (dry cooling)",2025
"Africa_Eastern","coal (conv pul) (dry cooling)",2030
"Africa_Eastern","coal (conv pul) (dry cooling)",2035
"Africa_Eastern","coal (conv pul) (dry cooling)",2040
