"region","sector.name","subsector.name","technology","year","input.capital","capital.overnight","fixed.charge.rate","capacity.factor"
"Africa_Eastern","electricity","solar","CSP",1975,"capital",1487,0.13,0.24629738110029
"Africa_Eastern","electricity","solar","CSP",1990,"capital",1487,0.13,0.24629738110029
"Africa_Eastern","electricity","solar","CSP",2005,"capital",1487,0.13,0.24629738110029
"Africa_Eastern","electricity","solar","CSP",2010,"capital",1487,0.13,0.24629738110029
"Africa_Eastern","electricity","solar","CSP",2015,"capital",1487,0.13,0.24629738110029
"Africa_Eastern","electricity","solar","CSP",2020,"capital",1353,0.13,0.24629738110029
"Africa_Eastern","electricity","solar","CSP",2025,"capital",1248,0.13,0.24629738110029
"Africa_Eastern","electricity","solar","CSP",2030,"capital",1168,0.13,0.24629738110029
"Africa_Eastern","electricity","solar","CSP",2035,"capital",1106,0.13,0.24629738110029
"Africa_Eastern","electricity","solar","CSP",2040,"capital",1057,0.13,0.24629738110029
"Africa_Eastern","electricity","solar","CSP",2045,"capital",1020,0.13,0.24629738110029
"Africa_Eastern","electricity","solar","CSP",2050,"capital",991,0.13,0.24629738110029
"Africa_Eastern","electricity","solar","CSP",2055,"capital",969,0.13,0.24629738110029
"Africa_Eastern","electricity","solar","CSP",2060,"capital",951,0.13,0.24629738110029
"Africa_Eastern","electricity","solar","CSP",2065,"capital",938,0.13,0.24629738110029
"Africa_Eastern","electricity","solar","CSP",2070,"capital",928,0.13,0.24629738110029
"Africa_Eastern","electricity","solar","CSP",2075,"capital",920,0.13,0.24629738110029
"Africa_Eastern","electricity","solar","CSP",2080,"capital",914,0.13,0.24629738110029
"Africa_Eastern","electricity","solar","CSP",2085,"capital",909,0.13,0.24629738110029
"Africa_Eastern","electricity","solar","CSP",2090,"capital",905,0.13,0.24629738110029
"Africa_Eastern","electricity","solar","CSP",2095,"capital",902,0.13,0.24629738110029
"Africa_Eastern","electricity","solar","CSP",2100,"capital",900,0.13,0.24629738110029
"Africa_Eastern","electricity","solar","CSP_storage",1975,"capital",2479,0.13,0.640373190860753
"Africa_Eastern","electricity","solar","CSP_storage",1990,"capital",2479,0.13,0.640373190860753
"Africa_Eastern","electricity","solar","CSP_storage",2005,"capital",2479,0.13,0.640373190860753
"Africa_Eastern","electricity","solar","CSP_storage",2010,"capital",2479,0.13,0.640373190860753
"Africa_Eastern","electricity","solar","CSP_storage",2015,"capital",2479,0.13,0.640373190860753
"Africa_Eastern","electricity","solar","CSP_storage",2020,"capital",2302,0.13,0.640373190860753
"Africa_Eastern","electricity","solar","CSP_storage",2025,"capital",2162,0.13,0.640373190860753
"Africa_Eastern","electricity","solar","CSP_storage",2030,"capital",2050,0.13,0.640373190860753
"Africa_Eastern","electricity","solar","CSP_storage",2035,"capital",1961,0.13,0.640373190860753
"Africa_Eastern","electricity","solar","CSP_storage",2040,"capital",1890,0.13,0.640373190860753
"Africa_Eastern","electricity","solar","CSP_storage",2045,"capital",1833,0.13,0.640373190860753
"Africa_Eastern","electricity","solar","CSP_storage",2050,"capital",1788,0.13,0.640373190860753
"Africa_Eastern","electricity","solar","CSP_storage",2055,"capital",1751,0.13,0.640373190860753
"Africa_Eastern","electricity","solar","CSP_storage",2060,"capital",1721,0.13,0.640373190860753
"Africa_Eastern","electricity","solar","CSP_storage",2065,"capital",1697,0.13,0.640373190860753
"Africa_Eastern","electricity","solar","CSP_storage",2070,"capital",1677,0.13,0.640373190860753
"Africa_Eastern","electricity","solar","CSP_storage",2075,"capital",1662,0.13,0.640373190860753
"Africa_Eastern","electricity","solar","CSP_storage",2080,"capital",1649,0.13,0.640373190860753
"Africa_Eastern","electricity","solar","CSP_storage",2085,"capital",1638,0.13,0.640373190860753
"Africa_Eastern","electricity","solar","CSP_storage",2090,"capital",1629,0.13,0.640373190860753
"Africa_Eastern","electricity","solar","CSP_storage",2095,"capital",1622,0.13,0.640373190860753
"Africa_Eastern","electricity","solar","CSP_storage",2100,"capital",1616,0.13,0.640373190860753
"Africa_Eastern","electricity","nuclear","Gen_III",1975,"capital",1704,0.13,0.9
"Africa_Eastern","electricity","nuclear","Gen_III",1990,"capital",1704,0.13,0.9
"Africa_Eastern","electricity","nuclear","Gen_III",2005,"capital",1704,0.13,0.9
"Africa_Eastern","electricity","nuclear","Gen_III",2010,"capital",1704,0.13,0.9
"Africa_Eastern","electricity","nuclear","Gen_III",2015,"capital",1704,0.13,0.9
"Africa_Eastern","electricity","nuclear","Gen_III",2020,"capital",1683,0.13,0.9
"Africa_Eastern","electricity","nuclear","Gen_III",2025,"capital",1663,0.13,0.9
"Africa_Eastern","electricity","nuclear","Gen_III",2030,"capital",1644,0.13,0.9
"Africa_Eastern","electricity","nuclear","Gen_III",2035,"capital",1626,0.13,0.9
"Africa_Eastern","electricity","nuclear","Gen_III",2040,"capital",1609,0.13,0.9
"Africa_Eastern","electricity","nuclear","Gen_III",2045,"capital",1593,0.13,0.9
"Africa_Eastern","electricity","nuclear","Gen_III",2050,"capital",1578,0.13,0.9
"Africa_Eastern","electricity","nuclear","Gen_III",2055,"capital",1563,0.13,0.9
"Africa_Eastern","electricity","nuclear","Gen_III",2060,"capital",1549,0.13,0.9
"Africa_Eastern","electricity","nuclear","Gen_III",2065,"capital",1536,0.13,0.9
"Africa_Eastern","electricity","nuclear","Gen_III",2070,"capital",1523,0.13,0.9
"Africa_Eastern","electricity","nuclear","Gen_III",2075,"capital",1511,0.13,0.9
"Africa_Eastern","electricity","nuclear","Gen_III",2080,"capital",1500,0.13,0.9
"Africa_Eastern","electricity","nuclear","Gen_III",2085,"capital",1489,0.13,0.9
"Africa_Eastern","electricity","nuclear","Gen_III",2090,"capital",1479,0.13,0.9
"Africa_Eastern","electricity","nuclear","Gen_III",2095,"capital",1469,0.13,0.9
"Africa_Eastern","electricity","nuclear","Gen_III",2100,"capital",1459,0.13,0.9
"Africa_Eastern","electricity","nuclear","Gen_II_LWR",1975,"capital",1650,0.13,0.9
"Africa_Eastern","electricity","nuclear","Gen_II_LWR",1990,"capital",1650,0.13,0.9
"Africa_Eastern","electricity","nuclear","Gen_II_LWR",2005,"capital",1650,0.13,0.9
"Africa_Eastern","electricity","nuclear","Gen_II_LWR",2010,"capital",1650,0.13,0.9
"Africa_Eastern","electricity","nuclear","Gen_II_LWR",2015,"capital",1704,0.13,0.9
"Africa_Eastern","electricity","nuclear","Gen_II_LWR",2020,"capital",1704,0.13,0.9
"Africa_Eastern","electricity","nuclear","Gen_II_LWR",2025,"capital",1704,0.13,0.9
"Africa_Eastern","electricity","nuclear","Gen_II_LWR",2030,"capital",1704,0.13,0.9
"Africa_Eastern","electricity","nuclear","Gen_II_LWR",2035,"capital",1704,0.13,0.9
"Africa_Eastern","electricity","nuclear","Gen_II_LWR",2040,"capital",1704,0.13,0.9
"Africa_Eastern","electricity","nuclear","Gen_II_LWR",2045,"capital",1704,0.13,0.9
"Africa_Eastern","electricity","nuclear","Gen_II_LWR",2050,"capital",1704,0.13,0.9
"Africa_Eastern","electricity","nuclear","Gen_II_LWR",2055,"capital",1704,0.13,0.9
"Africa_Eastern","electricity","nuclear","Gen_II_LWR",2060,"capital",1704,0.13,0.9
"Africa_Eastern","electricity","nuclear","Gen_II_LWR",2065,"capital",1704,0.13,0.9
"Africa_Eastern","electricity","nuclear","Gen_II_LWR",2070,"capital",1704,0.13,0.9
"Africa_Eastern","electricity","nuclear","Gen_II_LWR",2075,"capital",1704,0.13,0.9
"Africa_Eastern","electricity","nuclear","Gen_II_LWR",2080,"capital",1704,0.13,0.9
"Africa_Eastern","electricity","nuclear","Gen_II_LWR",2085,"capital",1704,0.13,0.9
"Africa_Eastern","electricity","nuclear","Gen_II_LWR",2090,"capital",1704,0.13,0.9
"Africa_Eastern","electricity","nuclear","Gen_II_LWR",2095,"capital",1704,0.13,0.9
"Africa_Eastern","electricity","nuclear","Gen_II_LWR",2100,"capital",1704,0.13,0.9
"Africa_Eastern","electricity","solar","PV",1975,"capital",578,0.13,0.282363715819185
"Africa_Eastern","electricity","solar","PV",1990,"capital",578,0.13,0.282363715819185
"Africa_Eastern","electricity","solar","PV",2005,"capital",578,0.13,0.282363715819185
"Africa_Eastern","electricity","solar","PV",2010,"capital",578,0.13,0.282363715819185
"Africa_Eastern","electricity","solar","PV",2015,"capital",578,0.13,0.282363715819185
"Africa_Eastern","electricity","solar","PV",2020,"capital",554,0.13,0.282363715819185
"Africa_Eastern","electricity","solar","PV",2025,"capital",533,0.13,0.282363715819185
"Africa_Eastern","electricity","solar","PV",2030,"capital",515,0.13,0.282363715819185
"Africa_Eastern","electricity","solar","PV",2035,"capital",499,0.13,0.282363715819185
"Africa_Eastern","electricity","solar","PV",2040,"capital",486,0.13,0.282363715819185
"Africa_Eastern","electricity","solar","PV",2045,"capital",474,0.13,0.282363715819185
"Africa_Eastern","electricity","solar","PV",2050,"capital",465,0.13,0.282363715819185
"Africa_Eastern","electricity","solar","PV",2055,"capital",456,0.13,0.282363715819185
"Africa_Eastern","electricity","solar","PV",2060,"capital",449,0.13,0.282363715819185
"Africa_Eastern","electricity","solar","PV",2065,"capital",443,0.13,0.282363715819185
"Africa_Eastern","electricity","solar","PV",2070,"capital",437,0.13,0.282363715819185
"Africa_Eastern","electricity","solar","PV",2075,"capital",433,0.13,0.282363715819185
"Africa_Eastern","electricity","solar","PV",2080,"capital",429,0.13,0.282363715819185
"Africa_Eastern","electricity","solar","PV",2085,"capital",425,0.13,0.282363715819185
"Africa_Eastern","electricity","solar","PV",2090,"capital",423,0.13,0.282363715819185
"Africa_Eastern","electricity","solar","PV",2095,"capital",420,0.13,0.282363715819185
"Africa_Eastern","electricity","solar","PV",2100,"capital",418,0.13,0.282363715819185
"Africa_Eastern","electricity","solar","PV_storage",1975,"capital",1363,0.13,0.282363715819185
"Africa_Eastern","electricity","solar","PV_storage",1990,"capital",1363,0.13,0.282363715819185
"Africa_Eastern","electricity","solar","PV_storage",2005,"capital",1363,0.13,0.282363715819185
"Africa_Eastern","electricity","solar","PV_storage",2010,"capital",1363,0.13,0.282363715819185
"Africa_Eastern","electricity","solar","PV_storage",2015,"capital",1363,0.13,0.282363715819185
"Africa_Eastern","electricity","solar","PV_storage",2020,"capital",1305,0.13,0.282363715819185
