"region","technology","year","capacity.factor.region"
"USA","wind_storage",1975,0.38
"USA","wind_storage",1990,0.38
"USA","wind_storage",2005,0.38
"USA","wind_storage",2010,0.38
"USA","wind_storage",2015,0.38
"USA","wind_storage",2020,0.38
"USA","wind_storage",2025,0.38
"USA","wind_storage",2030,0.38
"USA","wind_storage",2035,0.38
"USA","wind_storage",2040,0.38
"USA","wind_storage",2045,0.38
"USA","wind_storage",2050,0.38
"USA","wind_storage",2055,0.38
"USA","wind_storage",2060,0.38
"USA","wind_storage",2065,0.38
"USA","wind_storage",2070,0.38
"USA","wind_storage",2075,0.38
"USA","wind_storage",2080,0.38
"USA","wind_storage",2085,0.38
"USA","wind_storage",2090,0.38
"USA","wind_storage",2095,0.38
"USA","wind_storage",2100,0.38
"Africa_Eastern","wind_storage",1975,0.34
"Africa_Eastern","wind_storage",1990,0.34
"Africa_Eastern","wind_storage",2005,0.34
"Africa_Eastern","wind_storage",2010,0.34
"Africa_Eastern","wind_storage",2015,0.34
"Africa_Eastern","wind_storage",2020,0.34
"Africa_Eastern","wind_storage",2025,0.34
"Africa_Eastern","wind_storage",2030,0.34
"Africa_Eastern","wind_storage",2035,0.34
"Africa_Eastern","wind_storage",2040,0.34
"Africa_Eastern","wind_storage",2045,0.34
"Africa_Eastern","wind_storage",2050,0.34
"Africa_Eastern","wind_storage",2055,0.34
"Africa_Eastern","wind_storage",2060,0.34
"Africa_Eastern","wind_storage",2065,0.34
"Africa_Eastern","wind_storage",2070,0.34
"Africa_Eastern","wind_storage",2075,0.34
"Africa_Eastern","wind_storage",2080,0.34
"Africa_Eastern","wind_storage",2085,0.34
"Africa_Eastern","wind_storage",2090,0.34
"Africa_Eastern","wind_storage",2095,0.34
"Africa_Eastern","wind_storage",2100,0.34
"Africa_Northern","wind_storage",1975,0.38
"Africa_Northern","wind_storage",1990,0.38
"Africa_Northern","wind_storage",2005,0.38
"Africa_Northern","wind_storage",2010,0.38
"Africa_Northern","wind_storage",2015,0.38
"Africa_Northern","wind_storage",2020,0.38
"Africa_Northern","wind_storage",2025,0.38
"Africa_Northern","wind_storage",2030,0.38
"Africa_Northern","wind_storage",2035,0.38
"Africa_Northern","wind_storage",2040,0.38
"Africa_Northern","wind_storage",2045,0.38
"Africa_Northern","wind_storage",2050,0.38
"Africa_Northern","wind_storage",2055,0.38
"Africa_Northern","wind_storage",2060,0.38
"Africa_Northern","wind_storage",2065,0.38
"Africa_Northern","wind_storage",2070,0.38
"Africa_Northern","wind_storage",2075,0.38
"Africa_Northern","wind_storage",2080,0.38
"Africa_Northern","wind_storage",2085,0.38
"Africa_Northern","wind_storage",2090,0.38
"Africa_Northern","wind_storage",2095,0.38
"Africa_Northern","wind_storage",2100,0.38
"Africa_Southern","wind_storage",1975,0.27
"Africa_Southern","wind_storage",1990,0.27
"Africa_Southern","wind_storage",2005,0.27
"Africa_Southern","wind_storage",2010,0.27
"Africa_Southern","wind_storage",2015,0.27
"Africa_Southern","wind_storage",2020,0.27
"Africa_Southern","wind_storage",2025,0.27
"Africa_Southern","wind_storage",2030,0.27
"Africa_Southern","wind_storage",2035,0.27
"Africa_Southern","wind_storage",2040,0.27
"Africa_Southern","wind_storage",2045,0.27
"Africa_Southern","wind_storage",2050,0.27
"Africa_Southern","wind_storage",2055,0.27
"Africa_Southern","wind_storage",2060,0.27
"Africa_Southern","wind_storage",2065,0.27
"Africa_Southern","wind_storage",2070,0.27
"Africa_Southern","wind_storage",2075,0.27
"Africa_Southern","wind_storage",2080,0.27
"Africa_Southern","wind_storage",2085,0.27
"Africa_Southern","wind_storage",2090,0.27
"Africa_Southern","wind_storage",2095,0.27
"Africa_Southern","wind_storage",2100,0.27
"Africa_Western","wind_storage",1975,0.34
"Africa_Western","wind_storage",1990,0.34
"Africa_Western","wind_storage",2005,0.34
"Africa_Western","wind_storage",2010,0.34
"Africa_Western","wind_storage",2015,0.34
"Africa_Western","wind_storage",2020,0.34
"Africa_Western","wind_storage",2025,0.34
"Africa_Western","wind_storage",2030,0.34
"Africa_Western","wind_storage",2035,0.34
"Africa_Western","wind_storage",2040,0.34
"Africa_Western","wind_storage",2045,0.34
"Africa_Western","wind_storage",2050,0.34
"Africa_Western","wind_storage",2055,0.34
"Africa_Western","wind_storage",2060,0.34
"Africa_Western","wind_storage",2065,0.34
"Africa_Western","wind_storage",2070,0.34
"Africa_Western","wind_storage",2075,0.34
"Africa_Western","wind_storage",2080,0.34
"Africa_Western","wind_storage",2085,0.34
"Africa_Western","wind_storage",2090,0.34
"Africa_Western","wind_storage",2095,0.34
"Africa_Western","wind_storage",2100,0.34
"Australia_NZ","wind_storage",1975,0.38
"Australia_NZ","wind_storage",1990,0.38
"Australia_NZ","wind_storage",2005,0.38
"Australia_NZ","wind_storage",2010,0.38
"Australia_NZ","wind_storage",2015,0.38
"Australia_NZ","wind_storage",2020,0.38
"Australia_NZ","wind_storage",2025,0.38
"Australia_NZ","wind_storage",2030,0.38
"Australia_NZ","wind_storage",2035,0.38
"Australia_NZ","wind_storage",2040,0.38
"Australia_NZ","wind_storage",2045,0.38
"Australia_NZ","wind_storage",2050,0.38
"Australia_NZ","wind_storage",2055,0.38
"Australia_NZ","wind_storage",2060,0.38
"Australia_NZ","wind_storage",2065,0.38
"Australia_NZ","wind_storage",2070,0.38
"Australia_NZ","wind_storage",2075,0.38
"Australia_NZ","wind_storage",2080,0.38
"Australia_NZ","wind_storage",2085,0.38
"Australia_NZ","wind_storage",2090,0.38
"Australia_NZ","wind_storage",2095,0.38
"Australia_NZ","wind_storage",2100,0.38
"Brazil","wind_storage",1975,0.34
"Brazil","wind_storage",1990,0.34
"Brazil","wind_storage",2005,0.34
"Brazil","wind_storage",2010,0.34
"Brazil","wind_storage",2015,0.34
"Brazil","wind_storage",2020,0.34
"Brazil","wind_storage",2025,0.34
"Brazil","wind_storage",2030,0.34
"Brazil","wind_storage",2035,0.34
"Brazil","wind_storage",2040,0.34
"Brazil","wind_storage",2045,0.34
"Brazil","wind_storage",2050,0.34
"Brazil","wind_storage",2055,0.34
"Brazil","wind_storage",2060,0.34
"Brazil","wind_storage",2065,0.34
"Brazil","wind_storage",2070,0.34
"Brazil","wind_storage",2075,0.34
"Brazil","wind_storage",2080,0.34
"Brazil","wind_storage",2085,0.34
"Brazil","wind_storage",2090,0.34
"Brazil","wind_storage",2095,0.34
"Brazil","wind_storage",2100,0.34
"Canada","wind_storage",1975,0.38
"Canada","wind_storage",1990,0.38
"Canada","wind_storage",2005,0.38
"Canada","wind_storage",2010,0.38
"Canada","wind_storage",2015,0.38
"Canada","wind_storage",2020,0.38
"Canada","wind_storage",2025,0.38
"Canada","wind_storage",2030,0.38
"Canada","wind_storage",2035,0.38
"Canada","wind_storage",2040,0.38
"Canada","wind_storage",2045,0.38
"Canada","wind_storage",2050,0.38
"Canada","wind_storage",2055,0.38
"Canada","wind_storage",2060,0.38
"Canada","wind_storage",2065,0.38
"Canada","wind_storage",2070,0.38
"Canada","wind_storage",2075,0.38
"Canada","wind_storage",2080,0.38
"Canada","wind_storage",2085,0.38
"Canada","wind_storage",2090,0.38
"Canada","wind_storage",2095,0.38
"Canada","wind_storage",2100,0.38
"Central America and Caribbean","wind_storage",1975,0.38
"Central America and Caribbean","wind_storage",1990,0.38
"Central America and Caribbean","wind_storage",2005,0.38
"Central America and Caribbean","wind_storage",2010,0.38
"Central America and Caribbean","wind_storage",2015,0.38
"Central America and Caribbean","wind_storage",2020,0.38
"Central America and Caribbean","wind_storage",2025,0.38
"Central America and Caribbean","wind_storage",2030,0.38
"Central America and Caribbean","wind_storage",2035,0.38
"Central America and Caribbean","wind_storage",2040,0.38
"Central America and Caribbean","wind_storage",2045,0.38
"Central America and Caribbean","wind_storage",2050,0.38
"Central America and Caribbean","wind_storage",2055,0.38
"Central America and Caribbean","wind_storage",2060,0.38
"Central America and Caribbean","wind_storage",2065,0.38
"Central America and Caribbean","wind_storage",2070,0.38
"Central America and Caribbean","wind_storage",2075,0.38
"Central America and Caribbean","wind_storage",2080,0.38
"Central America and Caribbean","wind_storage",2085,0.38
"Central America and Caribbean","wind_storage",2090,0.38
"Central America and Caribbean","wind_storage",2095,0.38
"Central America and Caribbean","wind_storage",2100,0.38
"Central Asia","wind_storage",1975,0.35
"Central Asia","wind_storage",1990,0.35
"Central Asia","wind_storage",2005,0.35
"Central Asia","wind_storage",2010,0.35
"Central Asia","wind_storage",2015,0.35
"Central Asia","wind_storage",2020,0.35
"Central Asia","wind_storage",2025,0.35
"Central Asia","wind_storage",2030,0.35
"Central Asia","wind_storage",2035,0.35
"Central Asia","wind_storage",2040,0.35
"Central Asia","wind_storage",2045,0.35
"Central Asia","wind_storage",2050,0.35
"Central Asia","wind_storage",2055,0.35
"Central Asia","wind_storage",2060,0.35
"Central Asia","wind_storage",2065,0.35
"Central Asia","wind_storage",2070,0.35
"Central Asia","wind_storage",2075,0.35
"Central Asia","wind_storage",2080,0.35
"Central Asia","wind_storage",2085,0.35
"Central Asia","wind_storage",2090,0.35
"Central Asia","wind_storage",2095,0.35
"Central Asia","wind_storage",2100,0.35
"China","wind_storage",1975,0.38
"China","wind_storage",1990,0.38
"China","wind_storage",2005,0.38
"China","wind_storage",2010,0.38
"China","wind_storage",2015,0.38
"China","wind_storage",2020,0.38
"China","wind_storage",2025,0.38
"China","wind_storage",2030,0.38
"China","wind_storage",2035,0.38
"China","wind_storage",2040,0.38
"China","wind_storage",2045,0.38
"China","wind_storage",2050,0.38
"China","wind_storage",2055,0.38
"China","wind_storage",2060,0.38
"China","wind_storage",2065,0.38
"China","wind_storage",2070,0.38
"China","wind_storage",2075,0.38
"China","wind_storage",2080,0.38
"China","wind_storage",2085,0.38
"China","wind_storage",2090,0.38
"China","wind_storage",2095,0.38
"China","wind_storage",2100,0.38
"EU-12","wind_storage",1975,0.37
"EU-12","wind_storage",1990,0.37
"EU-12","wind_storage",2005,0.37
"EU-12","wind_storage",2010,0.37
"EU-12","wind_storage",2015,0.37
"EU-12","wind_storage",2020,0.37
"EU-12","wind_storage",2025,0.37
"EU-12","wind_storage",2030,0.37
"EU-12","wind_storage",2035,0.37
"EU-12","wind_storage",2040,0.37
"EU-12","wind_storage",2045,0.37
"EU-12","wind_storage",2050,0.37
"EU-12","wind_storage",2055,0.37
"EU-12","wind_storage",2060,0.37
"EU-12","wind_storage",2065,0.37
"EU-12","wind_storage",2070,0.37
"EU-12","wind_storage",2075,0.37
"EU-12","wind_storage",2080,0.37
"EU-12","wind_storage",2085,0.37
"EU-12","wind_storage",2090,0.37
"EU-12","wind_storage",2095,0.37
"EU-12","wind_storage",2100,0.37
"EU-15","wind_storage",1975,0.38
"EU-15","wind_storage",1990,0.38
"EU-15","wind_storage",2005,0.38
"EU-15","wind_storage",2010,0.38
"EU-15","wind_storage",2015,0.38
"EU-15","wind_storage",2020,0.38
