"region","technology","year"
"Africa_Eastern","CSP",1975
"Africa_Eastern","CSP",1990
"Africa_Eastern","CSP",2005
"Africa_Eastern","CSP",2010
"Africa_Eastern","CSP",2015
"Africa_Eastern","CSP",2020
"Africa_Eastern","CSP",2025
"Africa_Eastern","CSP",2030
"Africa_Eastern","CSP",2035
"Africa_Eastern","CSP",2040
"Africa_Eastern","CSP",2045
"Africa_Eastern","CSP",2050
"Africa_Eastern","CSP",2055
"Africa_Eastern","CSP",2060
"Africa_Eastern","CSP",2065
"Africa_Eastern","CSP",2070
"Africa_Eastern","CSP",2075
"Africa_Eastern","CSP",2080
"Africa_Eastern","CSP",2085
"Africa_Eastern","CSP",2090
"Africa_Eastern","CSP",2095
"Africa_Eastern","CSP",2100
"Africa_Eastern","CSP_storage",1975
"Africa_Eastern","CSP_storage",1990
"Africa_Eastern","CSP_storage",2005
"Africa_Eastern","CSP_storage",2010
"Africa_Eastern","CSP_storage",2015
"Africa_Eastern","CSP_storage",2020
"Africa_Eastern","CSP_storage",2025
"Africa_Eastern","CSP_storage",2030
"Africa_Eastern","CSP_storage",2035
"Africa_Eastern","CSP_storage",2040
"Africa_Eastern","CSP_storage",2045
"Africa_Eastern","CSP_storage",2050
"Africa_Eastern","CSP_storage",2055
"Africa_Eastern","CSP_storage",2060
"Africa_Eastern","CSP_storage",2065
"Africa_Eastern","CSP_storage",2070
"Africa_Eastern","CSP_storage",2075
"Africa_Eastern","CSP_storage",2080
"Africa_Eastern","CSP_storage",2085
"Africa_Eastern","CSP_storage",2090
"Africa_Eastern","CSP_storage",2095
"Africa_Eastern","CSP_storage",2100
"Africa_Eastern","Gen_III",1975
"Africa_Eastern","Gen_III",1990
"Africa_Eastern","Gen_III",2005
"Africa_Eastern","Gen_III",2010
"Africa_Eastern","Gen_III",2015
"Africa_Eastern","Gen_III",2020
"Africa_Eastern","Gen_III",2025
"Africa_Eastern","Gen_III",2030
"Africa_Eastern","Gen_III",2035
"Africa_Eastern","Gen_III",2040
"Africa_Eastern","Gen_III",2045
"Africa_Eastern","Gen_III",2050
"Africa_Eastern","Gen_III",2055
"Africa_Eastern","Gen_III",2060
"Africa_Eastern","Gen_III",2065
"Africa_Eastern","Gen_III",2070
"Africa_Eastern","Gen_III",2075
"Africa_Eastern","Gen_III",2080
"Africa_Eastern","Gen_III",2085
"Africa_Eastern","Gen_III",2090
"Africa_Eastern","Gen_III",2095
"Africa_Eastern","Gen_III",2100
"Africa_Eastern","Gen_II_LWR",1975
"Africa_Eastern","Gen_II_LWR",1990
"Africa_Eastern","Gen_II_LWR",2005
"Africa_Eastern","Gen_II_LWR",2010
"Africa_Eastern","Gen_II_LWR",2015
"Africa_Eastern","Gen_II_LWR",2020
"Africa_Eastern","Gen_II_LWR",2025
"Africa_Eastern","Gen_II_LWR",2030
"Africa_Eastern","Gen_II_LWR",2035
"Africa_Eastern","Gen_II_LWR",2040
"Africa_Eastern","Gen_II_LWR",2045
"Africa_Eastern","Gen_II_LWR",2050
"Africa_Eastern","Gen_II_LWR",2055
"Africa_Eastern","Gen_II_LWR",2060
"Africa_Eastern","Gen_II_LWR",2065
"Africa_Eastern","Gen_II_LWR",2070
"Africa_Eastern","Gen_II_LWR",2075
"Africa_Eastern","Gen_II_LWR",2080
"Africa_Eastern","Gen_II_LWR",2085
"Africa_Eastern","Gen_II_LWR",2090
"Africa_Eastern","Gen_II_LWR",2095
"Africa_Eastern","Gen_II_LWR",2100
"Africa_Eastern","PV",1975
"Africa_Eastern","PV",1990
"Africa_Eastern","PV",2005
"Africa_Eastern","PV",2010
"Africa_Eastern","PV",2015
"Africa_Eastern","PV",2020
"Africa_Eastern","PV",2025
"Africa_Eastern","PV",2030
"Africa_Eastern","PV",2035
"Africa_Eastern","PV",2040
"Africa_Eastern","PV",2045
"Africa_Eastern","PV",2050
"Africa_Eastern","PV",2055
"Africa_Eastern","PV",2060
"Africa_Eastern","PV",2065
"Africa_Eastern","PV",2070
"Africa_Eastern","PV",2075
"Africa_Eastern","PV",2080
"Africa_Eastern","PV",2085
"Africa_Eastern","PV",2090
"Africa_Eastern","PV",2095
"Africa_Eastern","PV",2100
"Africa_Eastern","PV_storage",1975
"Africa_Eastern","PV_storage",1990
"Africa_Eastern","PV_storage",2005
"Africa_Eastern","PV_storage",2010
"Africa_Eastern","PV_storage",2015
"Africa_Eastern","PV_storage",2020
"Africa_Eastern","PV_storage",2025
"Africa_Eastern","PV_storage",2030
"Africa_Eastern","PV_storage",2035
"Africa_Eastern","PV_storage",2040
"Africa_Eastern","PV_storage",2045
"Africa_Eastern","PV_storage",2050
"Africa_Eastern","PV_storage",2055
"Africa_Eastern","PV_storage",2060
"Africa_Eastern","PV_storage",2065
"Africa_Eastern","PV_storage",2070
"Africa_Eastern","PV_storage",2075
"Africa_Eastern","PV_storage",2080
"Africa_Eastern","PV_storage",2085
"Africa_Eastern","PV_storage",2090
"Africa_Eastern","PV_storage",2095
"Africa_Eastern","PV_storage",2100
"Africa_Eastern","biomass (IGCC CCS)",1975
"Africa_Eastern","biomass (IGCC CCS)",1990
"Africa_Eastern","biomass (IGCC CCS)",2005
"Africa_Eastern","biomass (IGCC CCS)",2010
"Africa_Eastern","biomass (IGCC CCS)",2015
"Africa_Eastern","biomass (IGCC CCS)",2020
"Africa_Eastern","biomass (IGCC CCS)",2025
"Africa_Eastern","biomass (IGCC CCS)",2030
"Africa_Eastern","biomass (IGCC CCS)",2035
"Africa_Eastern","biomass (IGCC CCS)",2040
"Africa_Eastern","biomass (IGCC CCS)",2045
"Africa_Eastern","biomass (IGCC CCS)",2050
"Africa_Eastern","biomass (IGCC CCS)",2055
"Africa_Eastern","biomass (IGCC CCS)",2060
"Africa_Eastern","biomass (IGCC CCS)",2065
"Africa_Eastern","biomass (IGCC CCS)",2070
"Africa_Eastern","biomass (IGCC CCS)",2075
"Africa_Eastern","biomass (IGCC CCS)",2080
"Africa_Eastern","biomass (IGCC CCS)",2085
"Africa_Eastern","biomass (IGCC CCS)",2090
"Africa_Eastern","biomass (IGCC CCS)",2095
"Africa_Eastern","biomass (IGCC CCS)",2100
"Africa_Eastern","biomass (IGCC)",1975
"Africa_Eastern","biomass (IGCC)",1990
"Africa_Eastern","biomass (IGCC)",2005
"Africa_Eastern","biomass (IGCC)",2010
"Africa_Eastern","biomass (IGCC)",2015
"Africa_Eastern","biomass (IGCC)",2020
"Africa_Eastern","biomass (IGCC)",2025
"Africa_Eastern","biomass (IGCC)",2030
"Africa_Eastern","biomass (IGCC)",2035
"Africa_Eastern","biomass (IGCC)",2040
"Africa_Eastern","biomass (IGCC)",2045
"Africa_Eastern","biomass (IGCC)",2050
"Africa_Eastern","biomass (IGCC)",2055
"Africa_Eastern","biomass (IGCC)",2060
"Africa_Eastern","biomass (IGCC)",2065
"Africa_Eastern","biomass (IGCC)",2070
"Africa_Eastern","biomass (IGCC)",2075
"Africa_Eastern","biomass (IGCC)",2080
"Africa_Eastern","biomass (IGCC)",2085
"Africa_Eastern","biomass (IGCC)",2090
"Africa_Eastern","biomass (IGCC)",2095
"Africa_Eastern","biomass (IGCC)",2100
"Africa_Eastern","biomass (conv CCS)",1975
"Africa_Eastern","biomass (conv CCS)",1990
"Africa_Eastern","biomass (conv CCS)",2005
"Africa_Eastern","biomass (conv CCS)",2010
"Africa_Eastern","biomass (conv CCS)",2015
"Africa_Eastern","biomass (conv CCS)",2020
"Africa_Eastern","biomass (conv CCS)",2025
"Africa_Eastern","biomass (conv CCS)",2030
"Africa_Eastern","biomass (conv CCS)",2035
"Africa_Eastern","biomass (conv CCS)",2040
"Africa_Eastern","biomass (conv CCS)",2045
"Africa_Eastern","biomass (conv CCS)",2050
"Africa_Eastern","biomass (conv CCS)",2055
"Africa_Eastern","biomass (conv CCS)",2060
"Africa_Eastern","biomass (conv CCS)",2065
"Africa_Eastern","biomass (conv CCS)",2070
"Africa_Eastern","biomass (conv CCS)",2075
"Africa_Eastern","biomass (conv CCS)",2080
"Africa_Eastern","biomass (conv CCS)",2085
"Africa_Eastern","biomass (conv CCS)",2090
"Africa_Eastern","biomass (conv CCS)",2095
"Africa_Eastern","biomass (conv CCS)",2100
"Africa_Eastern","biomass (conv)",1975
"Africa_Eastern","biomass (conv)",1990
"Africa_Eastern","biomass (conv)",2005
"Africa_Eastern","biomass (conv)",2010
"Africa_Eastern","biomass (conv)",2015
"Africa_Eastern","biomass (conv)",2020
"Africa_Eastern","biomass (conv)",2025
"Africa_Eastern","biomass (conv)",2030
"Africa_Eastern","biomass (conv)",2035
"Africa_Eastern","biomass (conv)",2040
"Africa_Eastern","biomass (conv)",2045
"Africa_Eastern","biomass (conv)",2050
"Africa_Eastern","biomass (conv)",2055
"Africa_Eastern","biomass (conv)",2060
"Africa_Eastern","biomass (conv)",2065
"Africa_Eastern","biomass (conv)",2070
"Africa_Eastern","biomass (conv)",2075
"Africa_Eastern","biomass (conv)",2080
"Africa_Eastern","biomass (conv)",2085
"Africa_Eastern","biomass (conv)",2090
"Africa_Eastern","biomass (conv)",2095
"Africa_Eastern","biomass (conv)",2100
"Africa_Eastern","coal (IGCC CCS)",1975
"Africa_Eastern","coal (IGCC CCS)",1990
"Africa_Eastern","coal (IGCC CCS)",2005
"Africa_Eastern","coal (IGCC CCS)",2010
"Africa_Eastern","coal (IGCC CCS)",2015
"Africa_Eastern","coal (IGCC CCS)",2020
"Africa_Eastern","coal (IGCC CCS)",2025
"Africa_Eastern","coal (IGCC CCS)",2030
"Africa_Eastern","coal (IGCC CCS)",2035
"Africa_Eastern","coal (IGCC CCS)",2040
"Africa_Eastern","coal (IGCC CCS)",2045
"Africa_Eastern","coal (IGCC CCS)",2050
"Africa_Eastern","coal (IGCC CCS)",2055
"Africa_Eastern","coal (IGCC CCS)",2060
"Africa_Eastern","coal (IGCC CCS)",2065
"Africa_Eastern","coal (IGCC CCS)",2070
"Africa_Eastern","coal (IGCC CCS)",2075
"Africa_Eastern","coal (IGCC CCS)",2080
"Africa_Eastern","coal (IGCC CCS)",2085
"Africa_Eastern","coal (IGCC CCS)",2090
"Africa_Eastern","coal (IGCC CCS)",2095
"Africa_Eastern","coal (IGCC CCS)",2100
"Africa_Eastern","coal (IGCC)",1975
"Africa_Eastern","coal (IGCC)",1990
"Africa_Eastern","coal (IGCC)",2005
"Africa_Eastern","coal (IGCC)",2010
"Africa_Eastern","coal (IGCC)",2015
"Africa_Eastern","coal (IGCC)",2020
"Africa_Eastern","coal (IGCC)",2025
"Africa_Eastern","coal (IGCC)",2030
"Africa_Eastern","coal (IGCC)",2035
"Africa_Eastern","coal (IGCC)",2040
"Africa_Eastern","coal (IGCC)",2045
"Africa_Eastern","coal (IGCC)",2050
"Africa_Eastern","coal (IGCC)",2055
"Africa_Eastern","coal (IGCC)",2060
"Africa_Eastern","coal (IGCC)",2065
"Africa_Eastern","coal (IGCC)",2070
"Africa_Eastern","coal (IGCC)",2075
"Africa_Eastern","coal (IGCC)",2080
"Africa_Eastern","coal (IGCC)",2085
"Africa_Eastern","coal (IGCC)",2090
"Africa_Eastern","coal (IGCC)",2095
"Africa_Eastern","coal (IGCC)",2100
"Africa_Eastern","coal (conv pul CCS)",1975
"Africa_Eastern","coal (conv pul CCS)",1990
"Africa_Eastern","coal (conv pul CCS)",2005
"Africa_Eastern","coal (conv pul CCS)",2010
"Africa_Eastern","coal (conv pul CCS)",2015
"Africa_Eastern","coal (conv pul CCS)",2020
"Africa_Eastern","coal (conv pul CCS)",2025
"Africa_Eastern","coal (conv pul CCS)",2030
"Africa_Eastern","coal (conv pul CCS)",2035
"Africa_Eastern","coal (conv pul CCS)",2040
"Africa_Eastern","coal (conv pul CCS)",2045
"Africa_Eastern","coal (conv pul CCS)",2050
"Africa_Eastern","coal (conv pul CCS)",2055
