"scenario","region","subRegion","param","sources","class","x","xLabel","vintage","units","aggregate","classLabel","classPalette","origScen","origQuery","origUnits","origX","value"
"jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","Africa_Eastern","Africa_Eastern","elecAnnualRetPrematureCost","Sources","class2",2015,"Year","Vint_2015","Premature Elec Retire Cost (billion 2015 USD)","sum","classLabel2","classPalette2","jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","elec gen by gen tech and cooling tech and vintage","billion 2015 USD",2015,0
"jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","Africa_Eastern","Africa_Eastern","elecAnnualRetPrematureCost","Sources","class2",2020,"Year","Vint_2020","Premature Elec Retire Cost (billion 2015 USD)","sum","classLabel2","classPalette2","jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","elec gen by gen tech and cooling tech and vintage","billion 2015 USD",2020,0
"jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","Africa_Eastern","Africa_Eastern","elecAnnualRetPrematureCost","Sources","class2",2025,"Year","Vint_2025","Premature Elec Retire Cost (billion 2015 USD)","sum","classLabel2","classPalette2","jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","elec gen by gen tech and cooling tech and vintage","billion 2015 USD",2025,-0.00322375386086899
"jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","Africa_Eastern","Africa_Eastern","elecAnnualRetPrematureCost","Sources","class2",2030,"Year","Vint_2030","Premature Elec Retire Cost (billion 2015 USD)","sum","classLabel2","classPalette2","jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","elec gen by gen tech and cooling tech and vintage","billion 2015 USD",2030,0
"jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","Africa_Eastern","Africa_Eastern","elecAnnualRetPrematureCost","Sources","class2",2035,"Year","Vint_2035","Premature Elec Retire Cost (billion 2015 USD)","sum","classLabel2","classPalette2","jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","elec gen by gen tech and cooling tech and vintage","billion 2015 USD",2035,-0.0871914452959086
"jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","Africa_Eastern","Africa_Eastern","elecAnnualRetPrematureCost","Sources","class2",2040,"Year","Vint_2040","Premature Elec Retire Cost (billion 2015 USD)","sum","classLabel2","classPalette2","jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","elec gen by gen tech and cooling tech and vintage","billion 2015 USD",2040,-0.0105478829236237
"jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","Africa_Eastern","Africa_Eastern","elecAnnualRetPrematureCost","Sources","class2",2045,"Year","Vint_2045","Premature Elec Retire Cost (billion 2015 USD)","sum","classLabel2","classPalette2","jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","elec gen by gen tech and cooling tech and vintage","billion 2015 USD",2045,0
"jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","Africa_Eastern","Africa_Eastern","elecAnnualRetPrematureCost","Sources","class2",2050,"Year","Vint_2050","Premature Elec Retire Cost (billion 2015 USD)","sum","classLabel2","classPalette2","jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","elec gen by gen tech and cooling tech and vintage","billion 2015 USD",2050,0
"jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","Africa_Eastern","Africa_Eastern","elecAnnualRetPrematureCost","Sources","class2",2055,"Year","Vint_2055","Premature Elec Retire Cost (billion 2015 USD)","sum","classLabel2","classPalette2","jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","elec gen by gen tech and cooling tech and vintage","billion 2015 USD",2055,0
"jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","Africa_Eastern","Africa_Eastern","elecAnnualRetPrematureCost","Sources","class2",2060,"Year","Vint_2060","Premature Elec Retire Cost (billion 2015 USD)","sum","classLabel2","classPalette2","jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","elec gen by gen tech and cooling tech and vintage","billion 2015 USD",2060,0
"jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","Africa_Eastern","Africa_Eastern","elecAnnualRetPrematureCost","Sources","class2",2065,"Year","Vint_2065","Premature Elec Retire Cost (billion 2015 USD)","sum","classLabel2","classPalette2","jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","elec gen by gen tech and cooling tech and vintage","billion 2015 USD",2065,0
"jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","Africa_Eastern","Africa_Eastern","elecAnnualRetPrematureCost","Sources","class2",2070,"Year","Vint_2070","Premature Elec Retire Cost (billion 2015 USD)","sum","classLabel2","classPalette2","jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","elec gen by gen tech and cooling tech and vintage","billion 2015 USD",2070,0
"jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","Africa_Eastern","Africa_Eastern","elecAnnualRetPrematureCost","Sources","class2",2075,"Year","Vint_2075","Premature Elec Retire Cost (billion 2015 USD)","sum","classLabel2","classPalette2","jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","elec gen by gen tech and cooling tech and vintage","billion 2015 USD",2075,0
"jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","Africa_Eastern","Africa_Eastern","elecAnnualRetPrematureCost","Sources","class2",2080,"Year","Vint_2080","Premature Elec Retire Cost (billion 2015 USD)","sum","classLabel2","classPalette2","jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","elec gen by gen tech and cooling tech and vintage","billion 2015 USD",2080,0
"jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","Africa_Eastern","Africa_Eastern","elecAnnualRetPrematureCost","Sources","class2",2085,"Year","Vint_2085","Premature Elec Retire Cost (billion 2015 USD)","sum","classLabel2","classPalette2","jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","elec gen by gen tech and cooling tech and vintage","billion 2015 USD",2085,-2.56727604294168e-06
"jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","Africa_Eastern","Africa_Eastern","elecAnnualRetPrematureCost","Sources","class2",2090,"Year","Vint_2090","Premature Elec Retire Cost (billion 2015 USD)","sum","classLabel2","classPalette2","jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","elec gen by gen tech and cooling tech and vintage","billion 2015 USD",2090,0
"jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","Africa_Eastern","Africa_Eastern","elecAnnualRetPrematureCost","Sources","class2",2095,"Year","Vint_2095","Premature Elec Retire Cost (billion 2015 USD)","sum","classLabel2","classPalette2","jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","elec gen by gen tech and cooling tech and vintage","billion 2015 USD",2095,-0.449199605856072
"jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","Africa_Eastern","Africa_Eastern","elecAnnualRetPrematureCost","Sources","class2",2100,"Year","Vint_2100","Premature Elec Retire Cost (billion 2015 USD)","sum","classLabel2","classPalette2","jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","elec gen by gen tech and cooling tech and vintage","billion 2015 USD",2100,-0.726216388411304
"jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","Africa_Eastern","Africa_Eastern","elecAnnualRetPrematureGW","Sources","class2",2015,"Year","Vint_2015","Premature Elec Retire (GW)","sum","classLabel2","classPalette2","jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","elec gen by gen tech and cooling tech and vintage","GW",2015,0
"jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","Africa_Eastern","Africa_Eastern","elecAnnualRetPrematureGW","Sources","class2",2020,"Year","Vint_2020","Premature Elec Retire (GW)","sum","classLabel2","classPalette2","jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","elec gen by gen tech and cooling tech and vintage","GW",2020,0
"jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","Africa_Eastern","Africa_Eastern","elecAnnualRetPrematureGW","Sources","class2",2025,"Year","Vint_2025","Premature Elec Retire (GW)","sum","classLabel2","classPalette2","jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","elec gen by gen tech and cooling tech and vintage","GW",2025,-0.00248036512167371
"jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","Africa_Eastern","Africa_Eastern","elecAnnualRetPrematureGW","Sources","class2",2030,"Year","Vint_2030","Premature Elec Retire (GW)","sum","classLabel2","classPalette2","jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","elec gen by gen tech and cooling tech and vintage","GW",2030,0
"jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","Africa_Eastern","Africa_Eastern","elecAnnualRetPrematureGW","Sources","class2",2035,"Year","Vint_2035","Premature Elec Retire (GW)","sum","classLabel2","classPalette2","jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","elec gen by gen tech and cooling tech and vintage","GW",2035,-0.0261436665184627
"jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","Africa_Eastern","Africa_Eastern","elecAnnualRetPrematureGW","Sources","class2",2040,"Year","Vint_2040","Premature Elec Retire (GW)","sum","classLabel2","classPalette2","jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","elec gen by gen tech and cooling tech and vintage","GW",2040,-0.00632539884377729
"jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","Africa_Eastern","Africa_Eastern","elecAnnualRetPrematureGW","Sources","class2",2045,"Year","Vint_2045","Premature Elec Retire (GW)","sum","classLabel2","classPalette2","jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","elec gen by gen tech and cooling tech and vintage","GW",2045,0
"jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","Africa_Eastern","Africa_Eastern","elecAnnualRetPrematureGW","Sources","class2",2050,"Year","Vint_2050","Premature Elec Retire (GW)","sum","classLabel2","classPalette2","jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","elec gen by gen tech and cooling tech and vintage","GW",2050,0
"jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","Africa_Eastern","Africa_Eastern","elecAnnualRetPrematureGW","Sources","class2",2055,"Year","Vint_2055","Premature Elec Retire (GW)","sum","classLabel2","classPalette2","jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","elec gen by gen tech and cooling tech and vintage","GW",2055,0
"jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","Africa_Eastern","Africa_Eastern","elecAnnualRetPrematureGW","Sources","class2",2060,"Year","Vint_2060","Premature Elec Retire (GW)","sum","classLabel2","classPalette2","jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","elec gen by gen tech and cooling tech and vintage","GW",2060,0
"jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","Africa_Eastern","Africa_Eastern","elecAnnualRetPrematureGW","Sources","class2",2065,"Year","Vint_2065","Premature Elec Retire (GW)","sum","classLabel2","classPalette2","jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","elec gen by gen tech and cooling tech and vintage","GW",2065,0
"jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","Africa_Eastern","Africa_Eastern","elecAnnualRetPrematureGW","Sources","class2",2070,"Year","Vint_2070","Premature Elec Retire (GW)","sum","classLabel2","classPalette2","jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","elec gen by gen tech and cooling tech and vintage","GW",2070,0
"jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","Africa_Eastern","Africa_Eastern","elecAnnualRetPrematureGW","Sources","class2",2075,"Year","Vint_2075","Premature Elec Retire (GW)","sum","classLabel2","classPalette2","jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","elec gen by gen tech and cooling tech and vintage","GW",2075,0
"jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","Africa_Eastern","Africa_Eastern","elecAnnualRetPrematureGW","Sources","class2",2080,"Year","Vint_2080","Premature Elec Retire (GW)","sum","classLabel2","classPalette2","jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","elec gen by gen tech and cooling tech and vintage","GW",2080,0
"jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","Africa_Eastern","Africa_Eastern","elecAnnualRetPrematureGW","Sources","class2",2085,"Year","Vint_2085","Premature Elec Retire (GW)","sum","classLabel2","classPalette2","jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","elec gen by gen tech and cooling tech and vintage","GW",2085,-1.47569444562499e-05
"jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","Africa_Eastern","Africa_Eastern","elecAnnualRetPrematureGW","Sources","class2",2090,"Year","Vint_2090","Premature Elec Retire (GW)","sum","classLabel2","classPalette2","jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","elec gen by gen tech and cooling tech and vintage","GW",2090,0
"jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","Africa_Eastern","Africa_Eastern","elecAnnualRetPrematureGW","Sources","class2",2095,"Year","Vint_2095","Premature Elec Retire (GW)","sum","classLabel2","classPalette2","jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","elec gen by gen tech and cooling tech and vintage","GW",2095,-0.27213837382248
"jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","Africa_Eastern","Africa_Eastern","elecAnnualRetPrematureGW","Sources","class2",2100,"Year","Vint_2100","Premature Elec Retire (GW)","sum","classLabel2","classPalette2","jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","elec gen by gen tech and cooling tech and vintage","GW",2100,-0.413532700820649
"jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","Africa_Eastern","Africa_Eastern","elecCumCapCost","Sources","class2",2015,"Year","Vint_2015","New Elec Cap Cost (billion 2015 USD)","sum","classLabel2","classPalette2","jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","elec gen by gen tech and cooling tech and vintage","billion 2010 USD",2015,0
"jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","Africa_Eastern","Africa_Eastern","elecCumCapCost","Sources","class2",2015,"Year","Vint_2015","New Elec Cap Cost (billion 2015 USD)","sum","classLabel2","classPalette2","jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","elec gen by gen tech and cooling tech and vintage","billion 2015 USD",2015,0
"jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","Africa_Eastern","Africa_Eastern","elecCumCapCost","Sources","class2",2020,"Year","Vint_2020","New Elec Cap Cost (billion 2015 USD)","sum","classLabel2","classPalette2","jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","elec gen by gen tech and cooling tech and vintage","billion 2010 USD",2020,3.48347502882219
"jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","Africa_Eastern","Africa_Eastern","elecCumCapCost","Sources","class2",2020,"Year","Vint_2020","New Elec Cap Cost (billion 2015 USD)","sum","classLabel2","classPalette2","jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","elec gen by gen tech and cooling tech and vintage","billion 2015 USD",2020,23.4049448284908
"jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","Africa_Eastern","Africa_Eastern","elecCumCapCost","Sources","class2",2025,"Year","Vint_2025","New Elec Cap Cost (billion 2015 USD)","sum","classLabel2","classPalette2","jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","elec gen by gen tech and cooling tech and vintage","billion 2010 USD",2025,6.96708774489915
"jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","Africa_Eastern","Africa_Eastern","elecCumCapCost","Sources","class2",2025,"Year","Vint_2025","New Elec Cap Cost (billion 2015 USD)","sum","classLabel2","classPalette2","jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","elec gen by gen tech and cooling tech and vintage","billion 2015 USD",2025,56.5040542130777
"jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","Africa_Eastern","Africa_Eastern","elecCumCapCost","Sources","class2",2030,"Year","Vint_2030","New Elec Cap Cost (billion 2015 USD)","sum","classLabel2","classPalette2","jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","elec gen by gen tech and cooling tech and vintage","billion 2010 USD",2030,10.4505752907445
"jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","Africa_Eastern","Africa_Eastern","elecCumCapCost","Sources","class2",2030,"Year","Vint_2030","New Elec Cap Cost (billion 2015 USD)","sum","classLabel2","classPalette2","jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","elec gen by gen tech and cooling tech and vintage","billion 2015 USD",2030,126.55505124518
"jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","Africa_Eastern","Africa_Eastern","elecCumCapCost","Sources","class2",2035,"Year","Vint_2035","New Elec Cap Cost (billion 2015 USD)","sum","classLabel2","classPalette2","jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","elec gen by gen tech and cooling tech and vintage","billion 2010 USD",2035,13.9340628365899
"jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","Africa_Eastern","Africa_Eastern","elecCumCapCost","Sources","class2",2035,"Year","Vint_2035","New Elec Cap Cost (billion 2015 USD)","sum","classLabel2","classPalette2","jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","elec gen by gen tech and cooling tech and vintage","billion 2015 USD",2035,232.353044429045
